label,pred,x,y
8,9,-0.008248908,-0.004184356
3,3,0.002540637,-0.00083869
7,5,0.001252282,-0.009328492
8,7,-0.004144899,-0.006298728
9,8,-0.006659084,-0.009368751
6,6,-0.0010410947,-0.008674818
6,9,-0.011431091,0.0021778462
9,7,-0.003979174,-0.010085594
8,4,0.0014190874,-0.0062479996
6,6,-0.0015248989,-0.0019921176
3,4,0.006564468,-0.007132759
6,8,-0.006099847,-0.0016750469
4,4,0.0039540497,-0.009834307
6,7,-0.005207508,-0.006334751
4,5,0.0010112398,-0.008777795
5,4,0.0013883591,-0.00598512
9,9,-0.005330557,0.0021954665
3,2,0.0056461412,0.001963444
5,3,0.0020570864,-0.0010091116
5,8,-0.0041374085,-0.0036168068
1,4,0.00790009,-0.013452643
2,2,0.019824745,-0.0037282875
9,8,-0.0033623131,-0.0036054484
8,9,-0.01003198,0.0019386212
9,9,-0.011370916,-0.0014839333
1,2,0.005798754,8.255975e-05
9,6,-0.0010691807,-0.0020480875
1,3,0.006043132,-0.0022660797
7,6,-0.0009593255,0.0026871266
2,3,0.008637874,-0.002994656
3,5,0.00086853694,-0.010936866
7,8,-0.013804297,-0.013445976
5,4,0.001352308,-0.0027683636
7,4,0.003155,-0.0050589223
7,6,-0.0003869977,-0.009385656
3,3,0.010802625,-0.003926169
5,7,-0.0019797971,0.0018825107
10,9,-0.008977206,0.0030361237
10,8,-0.005846745,-0.00068957213
6,7,-0.0036967623,-0.007036618
3,2,0.008121349,0.00074056187
9,7,-0.0042475425,-0.0071260384
3,2,0.012667274,-0.0012161128
3,2,0.004589109,0.008052075
10,8,-0.0047878036,-0.0040673325
9,9,-0.0054940023,-0.00026884992
9,6,-0.000887646,-0.0035834592
3,5,0.0014529473,-0.007978958
7,5,0.0020181043,-0.011482366
1,3,0.0106916325,-0.0018885524
10,7,-0.001442358,0.0030122108
7,7,-0.0082383165,-0.021241697
9,9,-0.0042545507,0.0036164303
4,8,-0.0039342023,-0.0011020829
1,2,0.0074729314,0.0020251877
8,9,-0.011776103,-0.00077662244
5,6,-0.0002872351,-0.009990335
10,8,-0.005027468,-0.00038379803
6,6,-0.00049402047,-0.01131063
6,4,0.0040519405,-0.0071986984
5,5,0.0012275056,-0.011617901
3,5,-0.00025842717,-0.0058893943
2,3,0.0032827822,0.0020183944
1,2,0.011593878,-0.0004136643
5,6,-0.00061831577,-0.00031872632
4,4,0.0016865567,0.0048077973
8,9,-0.0083203325,-0.0009422596
