label,pred,x,y
5,3,-0.00526581,0.006178866
7,8,0.009693076,0.002700942
2,2,-0.022588849,-0.0008295246
6,4,-0.0016778769,0.009365684
10,9,0.008083806,-0.008845126
10,9,0.0053669745,-0.007198604
6,6,0.0021328623,0.006038544
4,3,-0.009404666,0.0038807206
1,2,-0.011096022,0.002705891
8,8,0.016604964,0.016060926
5,4,-0.0016563328,0.005050518
8,5,0.0015027736,0.007875231
7,3,-0.0027606566,0.0015602295
1,2,-0.010612615,0.002845901
8,6,0.0033402126,0.008602722
2,4,-0.0029519917,0.0054758457
2,2,-0.0072884327,-0.00076376507
10,9,0.009567711,-0.003822064
8,7,0.0044680485,0.0028066293
9,8,0.0041900175,-0.0019256682
1,5,-9.758538e-05,0.00463481
7,3,-0.003928662,0.002505463
6,6,0.0023244976,0.008349415
8,8,0.0064321323,0.0014604916
5,3,-0.00464823,0.0029547187
8,8,0.010017634,0.008508664
8,8,0.0059815277,0.0021489752
8,6,0.0036292924,0.008331435
10,9,0.0110791065,-0.0018650775
10,6,0.00349474,0.008433874
4,3,-0.011468853,0.0146776475
10,8,0.003363607,-0.0028596641
8,6,0.0015977985,7.230345e-05
5,7,0.0060461545,0.012463523
8,8,0.0063068382,0.0029513475
10,9,0.0060711266,-0.0024924085
5,5,-0.0019859138,0.014084625
8,4,-0.0014607642,0.0054667853
8,7,0.0075396136,0.010778674
2,3,-0.004777065,-0.00013080472
1,2,-0.006931035,-0.0022907988
6,5,1.5233169e-05,0.01218247
1,3,-0.008718099,0.00820342
7,9,0.010644263,0.00050647365
10,9,0.00928805,-0.0002722086
6,4,-0.0027289065,0.012957303
6,6,0.0037061435,0.010570568
9,7,0.0029166131,0.0005147244
9,6,0.0011725007,0.004631093
5,5,-0.0001358286,0.012108818
9,8,0.010561162,0.0060121617
10,9,0.009156572,-0.0059110937
4,7,0.002839366,0.0026414646
8,7,0.0027259982,0.0021770836
3,3,-0.0074246693,0.008204954
6,6,0.0021859617,0.0045412523
9,8,0.004997642,-0.00097354176
2,3,-0.0118311,0.006182949
2,3,-0.0036163402,-0.0005508276
3,7,0.0018355922,-0.0048155407
7,8,0.009732849,0.0029305401
1,2,-0.007613952,0.0008599086
3,4,-0.0011344278,0.00047214606
5,6,0.0017085117,0.0064613493
10,8,0.013175168,0.006597765
8,7,0.008779436,0.011872934
10,8,0.0062078736,-0.0016459598
9,8,0.009913152,0.0039375275
9,8,0.0067529804,0.0057830196
7,4,-0.0012294617,0.0048869587
3,3,-0.004677361,-0.00047666024
5,3,-0.0051602423,0.00690389
9,5,0.00022171366,0.006829178
9,7,0.0032678747,-0.0017959268
9,6,0.002548115,0.0045930734
2,4,-0.0033804902,0.008228058
6,4,-0.0021862048,0.010850944
8,6,0.002526421,0.008614382
8,8,0.0052080383,-0.0025347692
3,3,-0.005828367,0.002179431
2,3,-0.00435888,0.002053218
2,4,-0.00066755933,0.008773881
5,4,-0.0023554326,0.012603919
4,4,-0.00145443,0.0033333788
5,6,0.00063619186,0.0065301056
6,7,0.0054703113,0.009238582
3,5,0.0010319848,0.007765274
